iter	RMSE
0	0.9248673798
1	0.8200487415
2	0.7637831744
3	0.731235266
4	0.6979402631
5	0.6562962339
6	0.6451285923
7	0.6338859534
8	0.6208208086
9	0.6118628354
10	0.6079549679
11	0.6031626015
12	0.5997089161
13	0.5929177893
14	0.5892760563
15	0.5822361596
16	0.5752187843
17	0.5720172607
18	0.5692406412
19	0.566230396
20	0.5629897368
21	0.5590091596
22	0.5565354578
23	0.552986453
24	0.5507863552
25	0.5491614672
26	0.5457830041
27	0.5437209457
28	0.5395180809
29	0.5375934261
30	0.5349720491
31	0.532806314
32	0.5313973065
33	0.5299145349
34	0.5282086305
35	0.5261701704
36	0.525077233
37	0.5207517581
38	0.5191306007
39	0.5181432873
40	0.5158410144
41	0.5146844903
42	0.5129643882
43	0.5119073383
44	0.5105687516
45	0.509730842
46	0.5072513095
47	0.5060222497
48	0.5045749565
49	0.5030057933
